Product Type,Product Weight (kg),Purpose,Vehicle Type,maxWeightCapacity
Leafy Greens,10463,perishable goods,10 wheeler Reefer Truck,11193
Fresh Vegetables,3343,perishable goods,Medium Refrigerated Truck,5105
Fresh Vegetables,9946,perishable goods,10 wheeler Reefer Truck,10419
Eggs,149,perishable goods,Small Refrigerated Van,1217
Eggs,10121,perishable goods,10 wheeler Reefer Truck,11824
Corn,10480,crops,10 Wheeler Cargo Truck,12435
Fruits,6656,crops,Dropside Truck,8393
Pigs,6065,livestock,Large Livestock Truck,6719
Milk,7263,perishable goods,Large Refrigerated Truck,7533
Goats,7202,livestock,10 wheeler Livestock Truck,8478
Milk,3999,perishable goods,Medium Refrigerated Truck,5803
Rice,14734,crops,10 Wheeler Dump Truck,16555
Eggs,3402,perishable goods,Medium Refrigerated Truck,4120
Corn,1860,crops,Large Delivery Van,3144
Fruits,5286,crops,Dropside Truck,5387
Milk,11943,perishable goods,10 wheeler Reefer Truck,12689
Milk,9809,perishable goods,10 wheeler Reefer Truck,10469
Milk,11466,perishable goods,10 wheeler Reefer Truck,13160
Chickens,8340,livestock,10 wheeler Livestock Truck,9011
Eggs,6160,perishable goods,Large Refrigerated Truck,6500
Cows,10212,livestock,10 wheeler Livestock Truck,11714
Milk,9435,perishable goods,10 wheeler Reefer Truck,9571
Goats,2721,livestock,Medium Livestock Truck,4631
Milk,350,perishable goods,Small Refrigerated Van,529
Goats,6285,livestock,Large Livestock Truck,6639
Fresh Vegetables,2469,perishable goods,Small Refrigerated Truck,4251
Corn,13933,crops,10 Wheeler Dump Truck,15280
Cows,2628,livestock,Medium Livestock Truck,3704
Pigs,7910,livestock,10 wheeler Livestock Truck,8263
Eggs,1782,perishable goods,Small Refrigerated Truck,3650
Vegetables,6031,crops,Dropside Truck,7332
Pigs,5117,livestock,Large Livestock Truck,5256
Eggs,10983,perishable goods,10 wheeler Reefer Truck,11994
Meat,11888,perishable goods,10 wheeler Reefer Truck,12963
Frozen Fish,5900,perishable goods,Large Refrigerated Truck,7424
Fresh Vegetables,4695,perishable goods,Medium Refrigerated Truck,6033
Meat,861,perishable goods,Medium Refrigerated Van,1508
Cows,4421,livestock,Large Livestock Truck,6069
Rice,13588,crops,10 Wheeler Dump Truck,14341
Fruits,7642,crops,Dropside Truck,8736
Frozen Fish,1883,perishable goods,Small Refrigerated Truck,3498
Corn,1846,crops,Elf Truck,3594
Corn,4043,crops,Heavy Duty Pickup Truck,5041
Chickens,671,livestock,Small Livestock Truck,2353
Fruits,10861,crops,10 Wheeler Cargo Truck,11465
Chickens,4753,livestock,Large Livestock Truck,5660
Vegetables,1086,crops,Small Pickup Truck,3040
Vegetables,3945,crops,Heavy Duty Pickup Truck,4226
Fruits,5244,crops,Dropside Truck,6415
Meat,9331,perishable goods,10 wheeler Reefer Truck,9547
Leafy Greens,5770,perishable goods,Large Refrigerated Truck,6626
Cows,7047,livestock,10 wheeler Livestock Truck,7971
Chickens,11161,livestock,10 wheeler Livestock Truck,11869
Cows,4605,livestock,Large Livestock Truck,5397
Milk,10762,perishable goods,10 wheeler Reefer Truck,12056
Eggs,5796,perishable goods,Large Refrigerated Truck,7161
Fruits,10354,crops,10 Wheeler Cargo Truck,12050
Chickens,4732,livestock,Large Livestock Truck,5074
Fresh Vegetables,9548,perishable goods,10 wheeler Reefer Truck,10484
Eggs,5812,perishable goods,Large Refrigerated Truck,6614
Fruits,4458,crops,Heavy Duty Pickup Truck,5906
Fresh Vegetables,2567,perishable goods,Small Refrigerated Truck,3467
Leafy Greens,1701,perishable goods,Small Refrigerated Truck,2393
Vegetables,7955,crops,Dropside Truck,8684
Fresh Vegetables,7623,perishable goods,Large Refrigerated Truck,8024
Rice,8903,crops,10 Wheeler Cargo Truck,9800
Frozen Fish,10111,perishable goods,10 wheeler Reefer Truck,10743
Leafy Greens,174,perishable goods,Small Refrigerated Van,1578
Pigs,5887,livestock,Large Livestock Truck,6161
Goats,1411,livestock,Small Livestock Truck,1863
Pigs,10557,livestock,10 wheeler Livestock Truck,11684
Chickens,3354,livestock,Large Livestock Truck,4927
Pigs,8929,livestock,10 wheeler Livestock Truck,10351
Leafy Greens,898,perishable goods,Medium Refrigerated Van,2731
Leafy Greens,5252,perishable goods,Large Refrigerated Truck,5845
Milk,1141,perishable goods,Medium Refrigerated Van,1446
Pigs,4575,livestock,Large Livestock Truck,5689
Fruits,9554,crops,10 Wheeler Cargo Truck,9859
Chickens,9790,livestock,10 wheeler Livestock Truck,11777
Leafy Greens,7796,perishable goods,Large Refrigerated Truck,8494
Leafy Greens,6488,perishable goods,Large Refrigerated Truck,7623
Pigs,11874,livestock,10 wheeler Livestock Truck,13458
Eggs,7799,perishable goods,Large Refrigerated Truck,7977
Cows,7792,livestock,10 wheeler Livestock Truck,8247
Fresh Vegetables,9186,perishable goods,10 wheeler Reefer Truck,10711
Fresh Vegetables,4812,perishable goods,Medium Refrigerated Truck,6022
Corn,14234,crops,10 Wheeler Dump Truck,15404
Eggs,3755,perishable goods,Medium Refrigerated Truck,4542
Pigs,7878,livestock,10 wheeler Livestock Truck,9732
Leafy Greens,3878,perishable goods,Medium Refrigerated Truck,5729
Fruits,2862,crops,Large Pickup Truck,3122
Fresh Vegetables,9868,perishable goods,10 wheeler Reefer Truck,10252
Chickens,2430,livestock,Medium Livestock Truck,4411
Goats,8022,livestock,10 wheeler Livestock Truck,9307
Chickens,6066,livestock,Large Livestock Truck,6447
Cows,2451,livestock,Medium Livestock Truck,3338
Cows,3192,livestock,Large Livestock Truck,4255
Corn,1117,crops,Small Pickup Truck,2128
Corn,12794,crops,10 Wheeler Dump Truck,13771
Fresh Vegetables,11043,perishable goods,10 wheeler Reefer Truck,11587
Fresh Vegetables,6591,perishable goods,Large Refrigerated Truck,8405
Frozen Fish,10439,perishable goods,10 wheeler Reefer Truck,12432
Fruits,11295,crops,10 Wheeler Cargo Truck,12672
Frozen Fish,9386,perishable goods,10 wheeler Reefer Truck,9559
Fresh Vegetables,8478,perishable goods,Large Refrigerated Truck,8694
Eggs,10791,perishable goods,10 wheeler Reefer Truck,12271
Leafy Greens,11644,perishable goods,10 wheeler Reefer Truck,12376
Cows,21,livestock,Small Livestock Truck,1914
Leafy Greens,9276,perishable goods,10 wheeler Reefer Truck,10923
Frozen Fish,8952,perishable goods,Large Refrigerated Truck,9241
Meat,10158,perishable goods,10 wheeler Reefer Truck,10887
Fresh Vegetables,4665,perishable goods,Medium Refrigerated Truck,5019
Rice,8957,crops,Dropside Truck,10907
Leafy Greens,3221,perishable goods,Medium Refrigerated Truck,3448
Milk,7587,perishable goods,Large Refrigerated Truck,8997
Leafy Greens,10433,perishable goods,10 wheeler Reefer Truck,11019
Fruits,1566,crops,Elf Truck,3131
Pigs,10707,livestock,10 wheeler Livestock Truck,12357
Fruits,349,crops,Tricycle,2150
Fruits,12676,crops,10 Wheeler Dump Truck,12984
Pigs,1830,livestock,Medium Livestock Truck,2177
Goats,5642,livestock,Large Livestock Truck,7511
Goats,10126,livestock,10 wheeler Livestock Truck,10480
Chickens,7987,livestock,10 wheeler Livestock Truck,9339
Rice,12919,crops,10 Wheeler Dump Truck,13364
Milk,5232,perishable goods,Large Refrigerated Truck,6038
Meat,7918,perishable goods,Large Refrigerated Truck,8375
Fruits,14496,crops,10 Wheeler Dump Truck,16098
Vegetables,11555,crops,10 Wheeler Cargo Truck,13447
Vegetables,9114,crops,10 Wheeler Cargo Truck,9611
Eggs,837,perishable goods,Medium Refrigerated Van,2501
Leafy Greens,7579,perishable goods,Large Refrigerated Truck,7810
Goats,8644,livestock,10 wheeler Livestock Truck,9391
Fruits,6670,crops,Dropside Truck,8157
Meat,1011,perishable goods,Medium Refrigerated Van,2163
Milk,3961,perishable goods,Medium Refrigerated Truck,4376
Chickens,940,livestock,Small Livestock Truck,1522
Eggs,1123,perishable goods,Medium Refrigerated Van,2641
Meat,11759,perishable goods,10 wheeler Reefer Truck,12149
Fresh Vegetables,2426,perishable goods,Small Refrigerated Truck,2643
Leafy Greens,2956,perishable goods,Small Refrigerated Truck,3605
Fruits,10416,crops,10 Wheeler Cargo Truck,12098
Leafy Greens,7275,perishable goods,Large Refrigerated Truck,8235
Chickens,4962,livestock,Large Livestock Truck,5121
Fruits,442,crops,Small Multicab,2232
Meat,7032,perishable goods,Large Refrigerated Truck,8685
Milk,3732,perishable goods,Medium Refrigerated Truck,4300
Cows,4429,livestock,Large Livestock Truck,6323
Rice,10721,crops,10 Wheeler Cargo Truck,12654
Fresh Vegetables,11112,perishable goods,10 wheeler Reefer Truck,12174
Goats,11258,livestock,10 wheeler Livestock Truck,12248
Rice,7740,crops,Dropside Truck,7967
Meat,11262,perishable goods,10 wheeler Reefer Truck,12115
Fresh Vegetables,1523,perishable goods,Small Refrigerated Truck,3498
Rice,8935,crops,Dropside Truck,10700
Cows,9270,livestock,10 wheeler Livestock Truck,10336
Chickens,7803,livestock,10 wheeler Livestock Truck,8151
Frozen Fish,2960,perishable goods,Small Refrigerated Truck,3665
Meat,6467,perishable goods,Large Refrigerated Truck,7000
Cows,2383,livestock,Medium Livestock Truck,4234
Cows,4362,livestock,Large Livestock Truck,5972
Goats,10791,livestock,10 wheeler Livestock Truck,11412
Pigs,10345,livestock,10 wheeler Livestock Truck,11059
Goats,3203,livestock,Large Livestock Truck,4930
Meat,10537,perishable goods,10 wheeler Reefer Truck,11165
Fruits,11854,crops,10 Wheeler Cargo Truck,12016
Fruits,14932,crops,10 Wheeler Dump Truck,16216
Pigs,5925,livestock,Large Livestock Truck,6801
Rice,9449,crops,10 Wheeler Cargo Truck,10721
Pigs,11890,livestock,10 wheeler Livestock Truck,13435
Milk,2250,perishable goods,Small Refrigerated Truck,2840
Fresh Vegetables,9706,perishable goods,10 wheeler Reefer Truck,11000
Fresh Vegetables,719,perishable goods,Small Refrigerated Van,1168
Chickens,2673,livestock,Medium Livestock Truck,4150
Leafy Greens,3548,perishable goods,Medium Refrigerated Truck,3804
Chickens,4513,livestock,Large Livestock Truck,6094
Rice,7666,crops,Dropside Truck,8020
Milk,5296,perishable goods,Large Refrigerated Truck,6158
Cows,7164,livestock,10 wheeler Livestock Truck,8444
Chickens,4904,livestock,Large Livestock Truck,5747
Cows,116,livestock,Small Livestock Truck,1201
Milk,4820,perishable goods,Medium Refrigerated Truck,6091
Leafy Greens,6128,perishable goods,Large Refrigerated Truck,6904
Fruits,7720,crops,Dropside Truck,8427
Pigs,1603,livestock,Medium Livestock Truck,2920
Fresh Vegetables,11719,perishable goods,10 wheeler Reefer Truck,13552
Milk,10241,perishable goods,10 wheeler Reefer Truck,10715
Chickens,889,livestock,Small Livestock Truck,1035
Frozen Fish,8696,perishable goods,Large Refrigerated Truck,10565
Eggs,3831,perishable goods,Medium Refrigerated Truck,5100
Chickens,9708,livestock,10 wheeler Livestock Truck,10202
Fruits,13605,crops,10 Wheeler Dump Truck,15401
Fresh Vegetables,11602,perishable goods,10 wheeler Reefer Truck,12456
Leafy Greens,7855,perishable goods,Large Refrigerated Truck,8211
Leafy Greens,2756,perishable goods,Small Refrigerated Truck,4223
Pigs,4290,livestock,Large Livestock Truck,4772
Fruits,8114,crops,10 Wheeler Cargo Truck,8591
Eggs,8713,perishable goods,Large Refrigerated Truck,8997
Fruits,12715,crops,10 Wheeler Dump Truck,13889
Goats,6075,livestock,Large Livestock Truck,6646
Vegetables,13897,crops,10 Wheeler Dump Truck,14629
Eggs,9578,perishable goods,10 wheeler Reefer Truck,10181
Corn,7003,crops,Dropside Truck,7769
Pigs,8840,livestock,10 wheeler Livestock Truck,10796
Fresh Vegetables,5480,perishable goods,Large Refrigerated Truck,5873
Goats,8481,livestock,10 wheeler Livestock Truck,9698
Eggs,7373,perishable goods,Large Refrigerated Truck,8762
Frozen Fish,1462,perishable goods,Large Refrigerated Van,1980
Meat,7402,perishable goods,Large Refrigerated Truck,8667
Milk,6936,perishable goods,Large Refrigerated Truck,7537
Chickens,10120,livestock,10 wheeler Livestock Truck,11885
Vegetables,1038,crops,Large Multicab,1257
Frozen Fish,6814,perishable goods,Large Refrigerated Truck,7511
Rice,5718,crops,Dropside Truck,6365
Cows,2666,livestock,Medium Livestock Truck,4011
Pigs,2259,livestock,Medium Livestock Truck,2961
Chickens,11177,livestock,10 wheeler Livestock Truck,12490
Goats,9068,livestock,10 wheeler Livestock Truck,9822
Eggs,8899,perishable goods,Large Refrigerated Truck,10151
Eggs,11295,perishable goods,10 wheeler Reefer Truck,11668
Pigs,5872,livestock,Large Livestock Truck,6638
Goats,10179,livestock,10 wheeler Livestock Truck,10413
Meat,880,perishable goods,Medium Refrigerated Van,2506
Rice,14184,crops,10 Wheeler Dump Truck,15643
Frozen Fish,5074,perishable goods,Large Refrigerated Truck,5943
Milk,4638,perishable goods,Medium Refrigerated Truck,6448
Leafy Greens,8733,perishable goods,Large Refrigerated Truck,10319
Chickens,8160,livestock,10 wheeler Livestock Truck,8830
Chickens,8314,livestock,10 wheeler Livestock Truck,9560
Cows,2787,livestock,Medium Livestock Truck,3607
Eggs,10447,perishable goods,10 wheeler Reefer Truck,10709
Vegetables,1071,crops,Large Multicab,2164
Corn,1835,crops,Elf Truck,2016
Eggs,5795,perishable goods,Large Refrigerated Truck,7408
Goats,4123,livestock,Large Livestock Truck,4564
Leafy Greens,6301,perishable goods,Large Refrigerated Truck,6896
Vegetables,13204,crops,10 Wheeler Dump Truck,13782
Corn,6481,crops,Dropside Truck,7212
Fresh Vegetables,5343,perishable goods,Large Refrigerated Truck,6155
Frozen Fish,10626,perishable goods,10 wheeler Reefer Truck,11454
Rice,5310,crops,Dropside Truck,6197
Goats,4146,livestock,Large Livestock Truck,5230
Eggs,832,perishable goods,Medium Refrigerated Van,1905
Vegetables,11984,crops,10 Wheeler Cargo Truck,12219
Vegetables,13001,crops,10 Wheeler Dump Truck,13110
Fresh Vegetables,9720,perishable goods,10 wheeler Reefer Truck,11080
Eggs,8408,perishable goods,Large Refrigerated Truck,10015
Rice,12433,crops,10 Wheeler Dump Truck,13022
Milk,2303,perishable goods,Small Refrigerated Truck,3484
Milk,4440,perishable goods,Medium Refrigerated Truck,6426
Cows,356,livestock,Small Livestock Truck,634
Fruits,6834,crops,Dropside Truck,7663
Eggs,1657,perishable goods,Small Refrigerated Truck,2796
Cows,11698,livestock,10 wheeler Livestock Truck,12852
Milk,1512,perishable goods,Small Refrigerated Truck,2526
Frozen Fish,4726,perishable goods,Medium Refrigerated Truck,6125
Meat,11433,perishable goods,10 wheeler Reefer Truck,12798
Fruits,14876,crops,10 Wheeler Dump Truck,15926
Chickens,5392,livestock,Large Livestock Truck,6810
Milk,1760,perishable goods,Small Refrigerated Truck,3565
Milk,1434,perishable goods,Large Refrigerated Van,1891
Fresh Vegetables,5189,perishable goods,Large Refrigerated Truck,5502
Leafy Greens,5139,perishable goods,Large Refrigerated Truck,5420
Chickens,6249,livestock,Large Livestock Truck,7614
Leafy Greens,2010,perishable goods,Small Refrigerated Truck,3559
Frozen Fish,7049,perishable goods,Large Refrigerated Truck,7547
Goats,6964,livestock,Large Livestock Truck,8088
Fruits,10207,crops,10 Wheeler Cargo Truck,11751
Eggs,9481,perishable goods,10 wheeler Reefer Truck,10216
Rice,14278,crops,10 Wheeler Dump Truck,15693
Eggs,3264,perishable goods,Medium Refrigerated Truck,4027
Vegetables,3277,crops,Elf Truck,4394
Fresh Vegetables,4817,perishable goods,Medium Refrigerated Truck,6274
Leafy Greens,10695,perishable goods,10 wheeler Reefer Truck,12512
Fresh Vegetables,5186,perishable goods,Large Refrigerated Truck,6234
Chickens,8009,livestock,10 wheeler Livestock Truck,9503
Corn,2890,crops,Large Pickup Truck,4609
Milk,10253,perishable goods,10 wheeler Reefer Truck,12244
Fruits,169,crops,Motorcyle with Box,1995
Goats,1947,livestock,Medium Livestock Truck,3224
Goats,3217,livestock,Large Livestock Truck,4191
Goats,6002,livestock,Large Livestock Truck,6327
Pigs,1066,livestock,Small Livestock Truck,1595
Pigs,1163,livestock,Small Livestock Truck,2694
Eggs,5276,perishable goods,Large Refrigerated Truck,5770
Fresh Vegetables,11797,perishable goods,10 wheeler Reefer Truck,12140
Corn,6971,crops,Dropside Truck,7736
Frozen Fish,4417,perishable goods,Medium Refrigerated Truck,5264
Leafy Greens,2561,perishable goods,Small Refrigerated Truck,3493
Fruits,3029,crops,Elf Truck,4380
Rice,8649,crops,10 Wheeler Cargo Truck,10599
Meat,9202,perishable goods,10 wheeler Reefer Truck,11201
Goats,3697,livestock,Large Livestock Truck,4614
Milk,1806,perishable goods,Small Refrigerated Truck,3764
Pigs,7903,livestock,10 wheeler Livestock Truck,9668
Fruits,724,crops,Small Pickup Truck,949
Cows,9922,livestock,10 wheeler Livestock Truck,11155
Eggs,5633,perishable goods,Large Refrigerated Truck,6346
Vegetables,10871,crops,10 Wheeler Cargo Truck,12297
Eggs,10517,perishable goods,10 wheeler Reefer Truck,11024
Fresh Vegetables,9521,perishable goods,10 wheeler Reefer Truck,11270
Milk,2428,perishable goods,Small Refrigerated Truck,3581
Goats,11370,livestock,10 wheeler Livestock Truck,12714
Pigs,3731,livestock,Large Livestock Truck,5591
Cows,11127,livestock,10 wheeler Livestock Truck,12520
Eggs,645,perishable goods,Small Refrigerated Van,1850
Vegetables,720,crops,Small Pickup Truck,2308
Meat,3972,perishable goods,Medium Refrigerated Truck,4422
Leafy Greens,7911,perishable goods,Large Refrigerated Truck,8361
Cows,10361,livestock,10 wheeler Livestock Truck,11904
Fruits,13320,crops,10 Wheeler Dump Truck,15222
Cows,1444,livestock,Small Livestock Truck,2570
Goats,7558,livestock,10 wheeler Livestock Truck,9548
Leafy Greens,6298,perishable goods,Large Refrigerated Truck,6468
Frozen Fish,2537,perishable goods,Small Refrigerated Truck,4136
Pigs,1886,livestock,Medium Livestock Truck,3486
Pigs,10006,livestock,10 wheeler Livestock Truck,10586
Corn,3672,crops,Heavy Duty Pickup Truck,4758
Frozen Fish,9647,perishable goods,10 wheeler Reefer Truck,10980
Chickens,3980,livestock,Large Livestock Truck,5255
Leafy Greens,10006,perishable goods,10 wheeler Reefer Truck,10898
Chickens,2967,livestock,Medium Livestock Truck,3280
Meat,9151,perishable goods,10 wheeler Reefer Truck,10619
Cows,11124,livestock,10 wheeler Livestock Truck,13085
Cows,7876,livestock,10 wheeler Livestock Truck,9547
Fruits,2273,crops,Large Pickup Truck,3545
Milk,8112,perishable goods,Large Refrigerated Truck,8238
Milk,10510,perishable goods,10 wheeler Reefer Truck,11816
Fruits,1675,crops,Large Delivery Van,3634
Vegetables,7310,crops,Dropside Truck,8967
Frozen Fish,7814,perishable goods,Large Refrigerated Truck,9076
Cows,6518,livestock,Large Livestock Truck,8166
Vegetables,13535,crops,10 Wheeler Dump Truck,14546
Cows,10440,livestock,10 wheeler Livestock Truck,11521
Eggs,147,perishable goods,Small Refrigerated Van,1020
Rice,11118,crops,10 Wheeler Cargo Truck,13010
Frozen Fish,9049,perishable goods,10 wheeler Reefer Truck,10911
Goats,6089,livestock,Large Livestock Truck,6344
Eggs,4153,perishable goods,Medium Refrigerated Truck,5321
Fresh Vegetables,10815,perishable goods,10 wheeler Reefer Truck,12698
Meat,8152,perishable goods,Large Refrigerated Truck,8464
Vegetables,12562,crops,10 Wheeler Dump Truck,14138
Frozen Fish,10226,perishable goods,10 wheeler Reefer Truck,11458
