Product Type,Product Weight (kg),Purpose,Vehicle Type
Corn,12370,crops,10 Wheeler Dump Truck
Goats,4751,livestock,Large Livestock Truck
Vegetables,1850,crops,Large Delivery Van
Vegetables,9850,crops,10 Wheeler Cargo Truck
Milk,2401,perishable goods,Small Refrigerated Truck
Rice,11770,crops,10 Wheeler Dump Truck
Pigs,9371,livestock,10 wheeler Livestock Truck
Rice,1170,crops,Small Pickup Truck
Vegetables,7910,crops,Dropside Truck
Goats,9781,livestock,10 wheeler Livestock Truck
Vegetables,1950,crops,Elf Truck
Vegetables,7550,crops,Dropside Truck
Corn,8090,crops,10 Wheeler Cargo Truck
Corn,7240,crops,Dropside Truck
Vegetables,2410,crops,Large Pickup Truck
Cows,5771,livestock,Large Livestock Truck
Fruits,14380,crops,10 Wheeler Dump Truck
Vegetables,14810,crops,10 Wheeler Dump Truck
Cows,6081,livestock,Large Livestock Truck
Cows,8371,livestock,10 wheeler Livestock Truck
Fruits,14360,crops,10 Wheeler Dump Truck
Fruits,8080,crops,Dropside Truck
Pigs,8541,livestock,10 wheeler Livestock Truck
Frozen Fish,3601,perishable goods,Medium Refrigerated Truck
Corn,8780,crops,10 Wheeler Cargo Truck
Rice,10840,crops,10 Wheeler Cargo Truck
Fruits,10540,crops,10 Wheeler Cargo Truck
Rice,3430,crops,Heavy Duty Pickup Truck
Pigs,5761,livestock,Large Livestock Truck
Vegetables,8240,crops,10 Wheeler Cargo Truck
Goats,10511,livestock,10 wheeler Livestock Truck
Fruits,10330,crops,10 Wheeler Cargo Truck
Vegetables,3740,crops,Heavy Duty Pickup Truck
Cows,9881,livestock,10 wheeler Livestock Truck
Rice,2590,crops,Elf Truck
Eggs,6261,perishable goods,Large Refrigerated Truck
Chickens,4501,livestock,Large Livestock Truck
Fruits,920,crops,Large Multicab
Fruits,11920,crops,10 Wheeler Cargo Truck
Leafy Greens,10271,perishable goods,10 wheeler Reefer Truck
Vegetables,14560,crops,10 Wheeler Dump Truck
Vegetables,7040,crops,Dropside Truck
Vegetables,14650,crops,10 Wheeler Dump Truck
Fresh Vegetables,6571,perishable goods,Large Refrigerated Truck
Goats,8961,livestock,10 wheeler Livestock Truck
Vegetables,5210,crops,Dropside Truck
Goats,11921,livestock,10 wheeler Livestock Truck
Fresh Vegetables,4251,perishable goods,Medium Refrigerated Truck
Pigs,7621,livestock,10 wheeler Livestock Truck
Vegetables,14230,crops,10 Wheeler Dump Truck
Vegetables,4860,crops,Dropside Truck
Pigs,2411,livestock,Medium Livestock Truck
Rice,7370,crops,Dropside Truck
Cows,10571,livestock,10 wheeler Livestock Truck
Rice,5910,crops,Dropside Truck
Rice,14210,crops,10 Wheeler Dump Truck
Cows,10361,livestock,10 wheeler Livestock Truck
Eggs,4771,perishable goods,Medium Refrigerated Truck
Fruits,790,crops,Small Multicab
Fruits,7780,crops,Dropside Truck
Rice,4420,crops,Dropside Truck
Frozen Fish,6831,perishable goods,Large Refrigerated Truck
Goats,11501,livestock,10 wheeler Livestock Truck
Pigs,7171,livestock,10 wheeler Livestock Truck
Frozen Fish,11381,perishable goods,10 wheeler Reefer Truck
Corn,1740,crops,Elf Truck
Rice,13280,crops,10 Wheeler Dump Truck
Chickens,7261,livestock,10 wheeler Livestock Truck
Milk,6811,perishable goods,Large Refrigerated Truck
Pigs,3161,livestock,Large Livestock Truck
Chickens,6671,livestock,Large Livestock Truck
Corn,1710,crops,Large Delivery Van
Pigs,10041,livestock,10 wheeler Livestock Truck
Chickens,2891,livestock,Medium Livestock Truck
Cows,1361,livestock,Small Livestock Truck
Chickens,8941,livestock,10 wheeler Livestock Truck
Fruits,3010,crops,Elf Truck
Frozen Fish,4151,perishable goods,Medium Refrigerated Truck
Pigs,2841,livestock,Medium Livestock Truck
Frozen Fish,6691,perishable goods,Large Refrigerated Truck
Fruits,6210,crops,Dropside Truck
Cows,6521,livestock,Large Livestock Truck
Rice,2560,crops,Large Pickup Truck
Fruits,2560,crops,Elf Truck
Meat,10071,perishable goods,10 wheeler Reefer Truck
Fruits,11510,crops,10 Wheeler Cargo Truck
Fresh Vegetables,8631,perishable goods,Large Refrigerated Truck
Vegetables,9760,crops,10 Wheeler Cargo Truck
Fruits,1160,crops,Large Multicab
Frozen Fish,9951,perishable goods,10 wheeler Reefer Truck
Cows,2731,livestock,Medium Livestock Truck
Cows,11781,livestock,10 wheeler Livestock Truck
Rice,10910,crops,10 Wheeler Cargo Truck
Fruits,3090,crops,Elf Truck
Corn,4090,crops,Heavy Duty Pickup Truck
Vegetables,1240,crops,Large Multicab
Rice,3500,crops,Elf Truck
Corn,7940,crops,Dropside Truck
Leafy Greens,7341,perishable goods,Large Refrigerated Truck
Eggs,3721,perishable goods,Medium Refrigerated Truck
Vegetables,11550,crops,10 Wheeler Dump Truck
Meat,9041,perishable goods,10 wheeler Reefer Truck
Pigs,8221,livestock,10 wheeler Livestock Truck
Leafy Greens,9521,perishable goods,10 wheeler Reefer Truck
Milk,8521,perishable goods,Large Refrigerated Truck
Fruits,12180,crops,10 Wheeler Dump Truck
Vegetables,8730,crops,10 Wheeler Cargo Truck
Cows,4951,livestock,Large Livestock Truck
Rice,2000,crops,Elf Truck
Rice,60,crops,Tricycle
Vegetables,11060,crops,10 Wheeler Cargo Truck
Goats,5371,livestock,Large Livestock Truck
Pigs,6981,livestock,Large Livestock Truck
Rice,9030,crops,10 Wheeler Cargo Truck
Leafy Greens,6821,perishable goods,Large Refrigerated Truck
Fruits,800,crops,Small Pickup Truck
Corn,14640,crops,10 Wheeler Dump Truck
Corn,860,crops,Small Delivery Van
Cows,11161,livestock,10 wheeler Livestock Truck
Rice,2690,crops,Elf Truck
Leafy Greens,7631,perishable goods,Large Refrigerated Truck
Milk,601,perishable goods,Small Refrigerated Van
Leafy Greens,6081,perishable goods,Large Refrigerated Truck
Rice,11250,crops,10 Wheeler Dump Truck
Vegetables,11320,crops,10 Wheeler Dump Truck
Corn,6920,crops,Dropside Truck
Fruits,990,crops,Large Multicab
Leafy Greens,4761,perishable goods,Medium Refrigerated Truck
Corn,6050,crops,Dropside Truck
Chickens,8521,livestock,10 wheeler Livestock Truck
Eggs,3411,perishable goods,Medium Refrigerated Truck
Corn,11340,crops,10 Wheeler Cargo Truck
Cows,2261,livestock,Medium Livestock Truck
Corn,1180,crops,Small Delivery Van
Milk,4701,perishable goods,Medium Refrigerated Truck
Rice,12690,crops,10 Wheeler Dump Truck
Vegetables,1680,crops,Elf Truck
Goats,3681,livestock,Large Livestock Truck
Fruits,1200,crops,Large Delivery Van
Vegetables,12790,crops,10 Wheeler Dump Truck
Fresh Vegetables,5051,perishable goods,Large Refrigerated Truck
Fresh Vegetables,5891,perishable goods,Large Refrigerated Truck
Cows,8791,livestock,10 wheeler Livestock Truck
Fruits,3600,crops,Heavy Duty Pickup Truck
Goats,3711,livestock,Large Livestock Truck
Rice,8000,crops,10 Wheeler Cargo Truck
Fresh Vegetables,3511,perishable goods,Medium Refrigerated Truck
Vegetables,1700,crops,Large Delivery Van
Eggs,5001,perishable goods,Large Refrigerated Truck
Fruits,1410,crops,Elf Truck
Pigs,6401,livestock,Large Livestock Truck
Vegetables,12480,crops,10 Wheeler Dump Truck
Meat,6381,perishable goods,Large Refrigerated Truck
Fruits,6500,crops,Dropside Truck
Goats,7991,livestock,10 wheeler Livestock Truck
Fruits,9700,crops,10 Wheeler Cargo Truck
Eggs,9331,perishable goods,10 wheeler Reefer Truck
Cows,11901,livestock,10 wheeler Livestock Truck
Pigs,3421,livestock,Large Livestock Truck
Milk,1401,perishable goods,Large Refrigerated Van
Rice,14240,crops,10 Wheeler Dump Truck
Chickens,1311,livestock,Small Livestock Truck
Goats,11391,livestock,10 wheeler Livestock Truck
Corn,14480,crops,10 Wheeler Dump Truck
Meat,1151,perishable goods,Medium Refrigerated Van
Fruits,2070,crops,Large Pickup Truck
Fresh Vegetables,11421,perishable goods,10 wheeler Reefer Truck
Corn,2840,crops,Elf Truck
Eggs,3341,perishable goods,Medium Refrigerated Truck
Frozen Fish,4651,perishable goods,Medium Refrigerated Truck
Chickens,5271,livestock,Large Livestock Truck
Fruits,7480,crops,Dropside Truck
Chickens,2391,livestock,Medium Livestock Truck
Rice,3590,crops,Heavy Duty Pickup Truck
Corn,6540,crops,Dropside Truck
Fresh Vegetables,4561,perishable goods,Medium Refrigerated Truck
Fruits,8490,crops,10 Wheeler Cargo Truck
Leafy Greens,2371,perishable goods,Small Refrigerated Truck
Cows,2301,livestock,Medium Livestock Truck
Leafy Greens,6671,perishable goods,Large Refrigerated Truck
Fruits,1090,crops,Large Multicab
Frozen Fish,1221,perishable goods,Large Refrigerated Van
Vegetables,960,crops,Large Multicab
Vegetables,8290,crops,10 Wheeler Cargo Truck
Vegetables,1730,crops,Large Delivery Van
Cows,1291,livestock,Small Livestock Truck
Frozen Fish,10081,perishable goods,10 wheeler Reefer Truck
Rice,690,crops,Small Delivery Van
Rice,10320,crops,10 Wheeler Cargo Truck
Corn,13640,crops,10 Wheeler Dump Truck
Corn,1160,crops,Small Pickup Truck
Vegetables,720,crops,Small Delivery Van
Rice,1180,crops,Large Delivery Van
Fruits,1900,crops,Large Delivery Van
Rice,8850,crops,10 Wheeler Cargo Truck
Eggs,7721,perishable goods,Large Refrigerated Truck
Fruits,14960,crops,10 Wheeler Dump Truck
Milk,381,perishable goods,Small Refrigerated Van
Corn,5660,crops,Dropside Truck
Cows,7801,livestock,10 wheeler Livestock Truck
Vegetables,2150,crops,Elf Truck
Goats,10991,livestock,10 wheeler Livestock Truck
Leafy Greens,2561,perishable goods,Small Refrigerated Truck
Goats,9281,livestock,10 wheeler Livestock Truck
Meat,7961,perishable goods,Large Refrigerated Truck
Chickens,6441,livestock,Large Livestock Truck
Cows,551,livestock,Small Livestock Truck
Chickens,6611,livestock,Large Livestock Truck
Corn,6150,crops,Dropside Truck
Rice,3920,crops,Heavy Duty Pickup Truck
Frozen Fish,10241,perishable goods,10 wheeler Reefer Truck
Goats,10971,livestock,10 wheeler Livestock Truck
Fresh Vegetables,1851,perishable goods,Small Refrigerated Truck
Vegetables,9080,crops,10 Wheeler Cargo Truck
Fruits,5880,crops,Dropside Truck
Goats,2241,livestock,Medium Livestock Truck
Rice,8390,crops,10 Wheeler Cargo Truck
Rice,11000,crops,10 Wheeler Cargo Truck
Vegetables,14050,crops,10 Wheeler Dump Truck
Cows,581,livestock,Small Livestock Truck
Vegetables,3630,crops,Heavy Duty Pickup Truck
Pigs,5401,livestock,Large Livestock Truck
Pigs,6241,livestock,Large Livestock Truck
Fruits,5980,crops,Dropside Truck
Milk,591,perishable goods,Small Refrigerated Van
Pigs,11341,livestock,10 wheeler Livestock Truck
Rice,14900,crops,10 Wheeler Dump Truck
Fresh Vegetables,3641,perishable goods,Medium Refrigerated Truck
Frozen Fish,4441,perishable goods,Medium Refrigerated Truck
Pigs,9661,livestock,10 wheeler Livestock Truck
Fruits,11700,crops,10 Wheeler Cargo Truck
Corn,2940,crops,Elf Truck
Frozen Fish,2141,perishable goods,Small Refrigerated Truck
Cows,621,livestock,Small Livestock Truck
Vegetables,9150,crops,10 Wheeler Cargo Truck
Eggs,8101,perishable goods,Large Refrigerated Truck
Pigs,11241,livestock,10 wheeler Livestock Truck
Goats,4141,livestock,Large Livestock Truck
Goats,7321,livestock,10 wheeler Livestock Truck
Corn,10280,crops,10 Wheeler Cargo Truck
Frozen Fish,6591,perishable goods,Large Refrigerated Truck
Fruits,650,crops,Small Delivery Van
Chickens,5451,livestock,Large Livestock Truck
Pigs,5281,livestock,Large Livestock Truck
Fruits,4060,crops,Heavy Duty Pickup Truck
Fruits,11210,crops,10 Wheeler Cargo Truck
Vegetables,400,crops,Small Multicab
Fresh Vegetables,231,perishable goods,Small Refrigerated Van
Rice,4120,crops,Heavy Duty Pickup Truck
Rice,1980,crops,Large Delivery Van
Vegetables,8430,crops,10 Wheeler Cargo Truck
Fruits,12940,crops,10 Wheeler Dump Truck
Rice,2410,crops,Elf Truck
Pigs,9521,livestock,10 wheeler Livestock Truck
Leafy Greens,431,perishable goods,Small Refrigerated Van
Fruits,11470,crops,10 Wheeler Dump Truck
Corn,3910,crops,Heavy Duty Pickup Truck
Frozen Fish,741,perishable goods,Small Refrigerated Van
Rice,1330,crops,Medium Pickup Truck
Frozen Fish,4501,perishable goods,Medium Refrigerated Truck
Rice,2770,crops,Elf Truck
Vegetables,2910,crops,Large Pickup Truck
Goats,491,livestock,Small Livestock Truck
Vegetables,2170,crops,Large Pickup Truck
Fruits,3160,crops,Elf Truck
Cows,6941,livestock,Large Livestock Truck
Chickens,2021,livestock,Medium Livestock Truck
Vegetables,5080,crops,Dropside Truck
Goats,4181,livestock,Large Livestock Truck
Fruits,3210,crops,Elf Truck
Goats,3171,livestock,Large Livestock Truck
Corn,12670,crops,10 Wheeler Dump Truck
Corn,8110,crops,Dropside Truck
Cows,8461,livestock,10 wheeler Livestock Truck
Corn,9640,crops,10 Wheeler Cargo Truck
Pigs,9691,livestock,10 wheeler Livestock Truck
Fruits,1420,crops,Large Multicab
Fruits,12710,crops,10 Wheeler Dump Truck
Chickens,11551,livestock,10 wheeler Livestock Truck
Rice,14670,crops,10 Wheeler Dump Truck
Fruits,5580,crops,Dropside Truck
Eggs,8181,perishable goods,Large Refrigerated Truck
Eggs,8961,perishable goods,Large Refrigerated Truck
Corn,8840,crops,Dropside Truck
Pigs,3461,livestock,Large Livestock Truck
Leafy Greens,8581,perishable goods,Large Refrigerated Truck
Corn,7230,crops,Dropside Truck
Fruits,2270,crops,Elf Truck
Cows,11301,livestock,10 wheeler Livestock Truck
Vegetables,10710,crops,10 Wheeler Cargo Truck
Corn,1050,crops,Large Multicab
Goats,7161,livestock,10 wheeler Livestock Truck
Pigs,8871,livestock,10 wheeler Livestock Truck
Vegetables,910,crops,Large Multicab
Goats,11321,livestock,10 wheeler Livestock Truck
Frozen Fish,8171,perishable goods,Large Refrigerated Truck
Eggs,7851,perishable goods,Large Refrigerated Truck
Fruits,1060,crops,Small Pickup Truck
Eggs,7331,perishable goods,Large Refrigerated Truck
Rice,4070,crops,Heavy Duty Pickup Truck
Pigs,811,livestock,Small Livestock Truck
Chickens,7851,livestock,10 wheeler Livestock Truck
Cows,9971,livestock,10 wheeler Livestock Truck
Pigs,21,livestock,Small Livestock Truck
Goats,10071,livestock,10 wheeler Livestock Truck
Vegetables,1140,crops,Large Multicab
Cows,3941,livestock,Large Livestock Truck
Vegetables,13030,crops,10 Wheeler Dump Truck
Corn,2760,crops,Large Pickup Truck
Meat,6091,perishable goods,Large Refrigerated Truck
Fruits,14040,crops,10 Wheeler Dump Truck
Fruits,10560,crops,10 Wheeler Cargo Truck
Milk,6111,perishable goods,Large Refrigerated Truck
Meat,7241,perishable goods,Large Refrigerated Truck
Rice,14450,crops,10 Wheeler Dump Truck
Rice,4900,crops,Dropside Truck
Goats,11081,livestock,10 wheeler Livestock Truck
Goats,8211,livestock,10 wheeler Livestock Truck
Milk,3321,perishable goods,Medium Refrigerated Truck
Chickens,3831,livestock,Large Livestock Truck
Corn,4240,crops,Heavy Duty Pickup Truck
Meat,8971,perishable goods,Large Refrigerated Truck
Corn,11360,crops,10 Wheeler Cargo Truck
Pigs,1101,livestock,Small Livestock Truck
Cows,7311,livestock,10 wheeler Livestock Truck
Corn,1130,crops,Large Delivery Van
Corn,6200,crops,Dropside Truck
Rice,9040,crops,10 Wheeler Cargo Truck
Leafy Greens,4241,perishable goods,Medium Refrigerated Truck
Vegetables,5540,crops,Dropside Truck
Eggs,9011,perishable goods,10 wheeler Reefer Truck
Goats,7131,livestock,10 wheeler Livestock Truck
Fruits,3240,crops,Large Pickup Truck
Rice,5550,crops,Dropside Truck
Pigs,8861,livestock,10 wheeler Livestock Truck
Corn,7870,crops,Dropside Truck
Vegetables,1380,crops,Large Multicab
Pigs,1341,livestock,Small Livestock Truck
Chickens,9171,livestock,10 wheeler Livestock Truck
Rice,580,crops,Small Delivery Van
Frozen Fish,5731,perishable goods,Large Refrigerated Truck
Goats,10461,livestock,10 wheeler Livestock Truck
Goats,2151,livestock,Medium Livestock Truck
Frozen Fish,7311,perishable goods,Large Refrigerated Truck
Rice,250,crops,Tricycle
Corn,620,crops,Small Multicab
Goats,7361,livestock,10 wheeler Livestock Truck
Eggs,4991,perishable goods,Medium Refrigerated Truck
Rice,10650,crops,10 Wheeler Cargo Truck
Rice,4480,crops,Heavy Duty Pickup Truck
Fruits,11880,crops,10 Wheeler Cargo Truck
Vegetables,7250,crops,Dropside Truck
Fruits,11410,crops,10 Wheeler Cargo Truck
Leafy Greens,1801,perishable goods,Small Refrigerated Truck
Fruits,2500,crops,Elf Truck
Corn,2380,crops,Elf Truck
Milk,1441,perishable goods,Large Refrigerated Van
Cows,3321,livestock,Large Livestock Truck
Vegetables,14940,crops,10 Wheeler Dump Truck
Fruits,10850,crops,10 Wheeler Cargo Truck
Pigs,5581,livestock,Large Livestock Truck
Vegetables,2310,crops,Elf Truck
Goats,10881,livestock,10 wheeler Livestock Truck
Eggs,10941,perishable goods,10 wheeler Reefer Truck
Fruits,2320,crops,Elf Truck
Eggs,851,perishable goods,Medium Refrigerated Van
Vegetables,1910,crops,Large Delivery Van
Corn,7960,crops,Dropside Truck
Pigs,4791,livestock,Large Livestock Truck
Meat,11311,perishable goods,10 wheeler Reefer Truck
Fruits,13490,crops,10 Wheeler Dump Truck
Frozen Fish,6011,perishable goods,Large Refrigerated Truck
Vegetables,7320,crops,Dropside Truck
Corn,2880,crops,Elf Truck
Eggs,5811,perishable goods,Large Refrigerated Truck
Fruits,1150,crops,Small Pickup Truck
Fruits,11730,crops,10 Wheeler Cargo Truck
Fresh Vegetables,2831,perishable goods,Small Refrigerated Truck
Corn,12170,crops,10 Wheeler Dump Truck
Cows,6271,livestock,Large Livestock Truck
Pigs,4321,livestock,Large Livestock Truck
Fruits,13680,crops,10 Wheeler Dump Truck
Eggs,6191,perishable goods,Large Refrigerated Truck
Goats,211,livestock,Small Livestock Truck
Corn,3280,crops,Elf Truck
Vegetables,12340,crops,10 Wheeler Dump Truck
Rice,12450,crops,10 Wheeler Dump Truck
Vegetables,1310,crops,Large Delivery Van
Milk,4201,perishable goods,Medium Refrigerated Truck
Rice,9880,crops,10 Wheeler Cargo Truck
Milk,11731,perishable goods,10 wheeler Reefer Truck
Corn,1460,crops,Large Multicab
Corn,500,crops,Small Delivery Van
Fruits,4010,crops,Heavy Duty Pickup Truck
Fruits,7670,crops,Dropside Truck
Fruits,14950,crops,10 Wheeler Dump Truck
Fruits,13010,crops,10 Wheeler Dump Truck
Cows,7061,livestock,10 wheeler Livestock Truck
Rice,3360,crops,Large Pickup Truck
Fruits,1100,crops,Large Multicab
Rice,3690,crops,Heavy Duty Pickup Truck
Corn,3220,crops,Elf Truck
Pigs,4411,livestock,Large Livestock Truck
Corn,7610,crops,Dropside Truck
Fresh Vegetables,3141,perishable goods,Medium Refrigerated Truck
Frozen Fish,11661,perishable goods,10 wheeler Reefer Truck
Milk,10491,perishable goods,10 wheeler Reefer Truck
Corn,11370,crops,10 Wheeler Cargo Truck
Rice,11990,crops,10 Wheeler Dump Truck
Fresh Vegetables,1501,perishable goods,Small Refrigerated Truck
Goats,4461,livestock,Large Livestock Truck
Corn,1640,crops,Elf Truck
Vegetables,740,crops,Small Pickup Truck
Vegetables,8070,crops,10 Wheeler Cargo Truck
Fruits,7470,crops,Dropside Truck
Meat,3621,perishable goods,Medium Refrigerated Truck
Leafy Greens,1561,perishable goods,Small Refrigerated Truck
Fresh Vegetables,5531,perishable goods,Large Refrigerated Truck
Leafy Greens,11641,perishable goods,10 wheeler Reefer Truck
Frozen Fish,5611,perishable goods,Large Refrigerated Truck
Fruits,8070,crops,Dropside Truck
Fruits,11840,crops,10 Wheeler Dump Truck
Milk,8281,perishable goods,Large Refrigerated Truck
Chickens,381,livestock,Small Livestock Truck
Vegetables,4170,crops,Heavy Duty Pickup Truck
Rice,9070,crops,10 Wheeler Cargo Truck
Eggs,4381,perishable goods,Medium Refrigerated Truck
Eggs,11781,perishable goods,10 wheeler Reefer Truck
Cows,4991,livestock,Large Livestock Truck
Leafy Greens,10891,perishable goods,10 wheeler Reefer Truck
Vegetables,9010,crops,10 Wheeler Cargo Truck
Fruits,3460,crops,Heavy Duty Pickup Truck
Frozen Fish,1201,perishable goods,Large Refrigerated Van
Cows,10201,livestock,10 wheeler Livestock Truck
Rice,2750,crops,Large Pickup Truck
Corn,1280,crops,Medium Pickup Truck
Fruits,520,crops,Small Delivery Van
